num,Country,colony,Lat,Lon,Year,Size,GPS_n_birds,GPS_n_trips,Dur,Dur_err,Dur_err_type,Maxdist,Maxdist_err,Maxdist_err_type,Totaldist,Totaldist_err,Totaldist_err_type,GPS_freq_mins,GPS_year
1,Canada,Cape St Mary's,46.81,-54.18,2018,14598,22,558,14.33259,0.457663,SE,72.41172,1.911321,SE,176.4809,5.246299,SE,15,2019-21
2,Canada,Baccalieu Island,48.15,-52.8,2009,2253,6,18,9.292778,1.719013 7.293154,SE/SD,39.88889,5.829769 24.733613,SE/SD,141.6111,26.43133 112.13864,SE/SD,?,2009
3,Canada,Bonaventure Island,48.48,-64.15,2004,53635,14,15,28,NA,NA,132,NA,NA,432,NA,NA,3,2003
4,France,Rouzic,48.9,-3.436,2012,20400,169,208,25.141,10.921,SD,124.1663,49.955,SD,476.707,196.0136,SD,1s - 2min,"2005,06,2010-17"
5,Alderney,Alderney,49.705,-2.239,2011,7885,60,288,23,NA,NA,122,NA,NA,407.8,NA,NA,2,2011 & 2013-15
6,Canada,Funk Island,49.75,-53.18,2004,10047,26,34,16.52353,NA,NA,102.5882353,NA,NA,296.0588235,NA,NA,3,"2003, 2005"
7,Ireland,Bull Rock,51.58,-10.3,2004,3694,14,166,11.88245509,8.082858834,SD,69.83651497,34.05711886,SD,212.2022216,131.849956,SD,2,2011
8,Wales,Grassholm,51.73122529,-5.479207075,2015,36011,304,634,21.82456,1.716861,SE,116.843,7.393044,SE,379.7308,38.11527,SE,?1 or 2,"2006,10-17"
9,Ireland,Little Skellig,51.78,-10.5,2004,29683,9,64,13.42511966,11.78003905,SD,96.50298462,61.75356502,SD,246.1832769,189.938098,SD,2,2011
10,Ireland,Great Saltee,52.11286,-6.62189,2013/14,4722,71,330,21.53149,NA,NA,98.53876,NA,NA,319.5743,NA,SD,2-180,"1999&2010,11,17,18"
11,Ireland,Lambay,53.5,-6,2010,138,3,37,11.56042398,7.627606212,SD,37.50852632,19.58356045,SD,126.8246579,75.25272125,SD,2,2011
12,England,Bempton,54.15,-0.17,2012,11061,35,2982,9.1425,NA,NA,45.702,NA,NA,133.2021,NA,NA,~1,"2010-12,2018"
13,Germany,Heligoland,54.18,7.92,2014,656,3,168,7.9,8,SD,42,45.7,SD,124.6,138.6,SD,Not stated,2014
14,Scotland,Ailsa Craig,55.25,-5.12,2014,33226,16,111,26.21258759,16.15430621,SD,152.2972703,70.49589555,SD,485.9557387,264.8212936,SD,2,2011
15,Scotland,Bass Rock,56.07672,-2.64139,2009,69858,206,864,25.58,12.61,SD,200.1146,98.47258,SD,547.0289,258.891,SD,2,2010-12 & 15-17
16,Scotland,St Kilda,57.86,-8.48,2013,60290,21,254,24.31513,,SE/SD,164.1807,,SE/SD,459.7845,,SE/SD,75,2010
17,Scotland,Sule Skerry,59.08,-4.4,2013,1870,2,14,14.35,1.57/5.87,SE/SD,72.89,5.30/19/81,SE/SD,246.68,24.75/92.62,SE/SD,2,2011
18,Iceland,Vestmannaeyjar,63.36125,-20.366299,2013/14,15044,9,30,10.228111,7.413818,SD,42.94617,27.03743,SD,150.1589,127.93156,SD,"1,2","2016, 2017"
19,Iceland,Skrúður,64.8999039,-13.631759,2014,6051,27,52,4.806944,4.528021,SD,29.19026,24.15707,SD,93.55348,85.51832,SD,1,"2016, 2017"
20,Norway,Store Ulvøyhomen,68.85,14.85,2008,308,43,145.34,6.89,NA,SE,22.276,NA,SE,101.167,NA,SE,10s,2008-09
21,Norway,Storstappen,71.23,25.5,2008,1244,58,196.04,6.553,NA,SE,38.714,NA,SE,145.16,NA,SE,10s,2007-09
